date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:59	254/254	---M-Z	200	added ('OK')	text/plain	etag:%2215e-54383030-52846c08996140ff;gz%22	http://www.fluttuo.com/robots.txt		(from )
21:47:59	27176/27176	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202018%2016:17:57%20GMT	http://www.fluttuo.com/	C:/xampp/htdocs/SangramYehWali/Sangram/www.fluttuo.com/index.html	(from )
21:47:59	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-524573be-59979c66578e39b8;;;%22	http://www.fluttuo.com/wp-content/themes/fluttuo2/img/favicon.ico	C:/xampp/htdocs/SangramYehWali/Sangram/www.fluttuo.com/wp-content/themes/fluttuo2/img/favicon.ico	(from http://www.fluttuo.com/)
21:48:00	59197/59197	---M-Z	200	added ('OK')	text/css	etag:%22e73d-52933b7d-95a3218053ff3ee5;gz%22	http://www.fluttuo.com/wp-content/themes/fluttuo2/style.css	C:/xampp/htdocs/SangramYehWali/Sangram/www.fluttuo.com/wp-content/themes/fluttuo2/style.css	(from http://www.fluttuo.com/)
21:48:01	7200/7200	---M-Z	200	added ('OK')	application/javascript	etag:%221c20-51ee84fa-62f7c961e1821b2b;gz%22	http://www.fluttuo.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	C:/xampp/htdocs/SangramYehWali/Sangram/www.fluttuo.com/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://www.fluttuo.com/)
21:48:02	8404/8404	---M-Z	200	added ('OK')	application/javascript	etag:%2220d4-516ee0a6-d52f82b11f6cf60b;gz%22	http://www.fluttuo.com/wp-content/themes/fluttuo2/js/vendors/es5-shim.min.js?v8	C:/xampp/htdocs/SangramYehWali/Sangram/www.fluttuo.com/wp-content/themes/fluttuo2/js/vendors/es5-shim.mind387.js	(from http://www.fluttuo.com/)
21:48:02	93085/93085	---M-Z	200	added ('OK')	application/javascript	etag:%2216b9d-5214c376-6ef5974dded2a954;gz%22	http://www.fluttuo.com/wp-includes/js/jquery/jquery.js?ver=1.10.2	C:/xampp/htdocs/SangramYehWali/Sangram/www.fluttuo.com/wp-includes/js/jquery/jquery3e5a.js	(from http://www.fluttuo.com/)
21:48:02	8097/8097	---M-Z	200	added ('OK')	application/javascript	etag:%221fa1-4cd56cf2-dcac880010b651a2;gz%22	http://www.fluttuo.com/wp-content/themes/fluttuo2/js/vendors/jquery.easing.1.3.js?v8	C:/xampp/htdocs/SangramYehWali/Sangram/www.fluttuo.com/wp-content/themes/fluttuo2/js/vendors/jquery.easing.1.3d387.js	(from http://www.fluttuo.com/)
21:48:03	52225/52225	---M-Z	200	added ('OK')	application/javascript	etag:%22cc01-528d1f08-e8e591f696a227bb;gz%22	http://www.fluttuo.com/wp-content/themes/fluttuo2/js/vendors/jquery.flexslider-modified.js?v8	C:/xampp/htdocs/SangramYehWali/Sangram/www.fluttuo.com/wp-content/themes/fluttuo2/js/vendors/jquery.flexslider-modifiedd387.js	(from http://www.fluttuo.com/)
21:48:03	1181/1181	---M-Z	200	added ('OK')	application/javascript	etag:%2249d-5293610d-8feb1aaea470a964;gz%22	http://www.fluttuo.com/wp-content/themes/fluttuo2/js/startup.js?v8	C:/xampp/htdocs/SangramYehWali/Sangram/www.fluttuo.com/wp-content/themes/fluttuo2/js/startupd387.js	(from http://www.fluttuo.com/)
